county_id,county_name,enrollees,total_spend,hospital_snf,physician,outpatient,home_health,hospice,dme,state
48173,TX-Glasscock County,118,8664.75,3675.79,2223.56,1629.74,628.03,,132.72,TX
48175,TX-Goliad County,898,11086.73,5397.01,2678.01,1648.98,941.74,173.32,241.71,TX
48177,TX-Gonzales County,2423,9903.12,4479.21,2480.09,1749.15,569.21,373.1,250.63,TX
48179,TX-Gray County,2688,9849.15,4502.08,2402.83,1204.25,960.12,595.11,201.25,TX
48181,TX-Grayson County,15728,11512.3,4718.03,3047.45,1477.03,1333.4,710.5,281.52,TX
48183,TX-Gregg County,14620,10210.08,4333.21,2517.67,1395.04,1175.56,550.3,245.06,TX
48185,TX-Grimes County,2567,10326.86,4787.44,2397.97,1721.01,835.04,388.04,207.66,TX
48187,TX-Guadalupe County,10620,9530.9,3923.41,2989.4,1269.21,703.56,488.73,172.9,TX
48189,TX-Hale County,3313,9710.39,4022.95,2119.94,1738.47,982.77,606.54,191.43,TX
48191,TX-Hall County,554,10974.2,5540.47,2095.12,1308.36,1018.22,489.8,543.22,TX
48193,TX-Hamilton County,1451,8980.72,4072.59,1754.78,1908.75,607.98,505.4,164.31,TX
48195,TX-Hansford County,657,10810.92,5649.35,2243.52,1766.62,506.41,272.71,383.86,TX
48197,TX-Hardeman County,604,11559.3,5743.41,1896.46,2368.87,1024.95,378.61,174.61,TX
48199,TX-Hardin County,4827,10695.37,4611.89,2935.0,1187.75,1145.42,744.94,148.16,TX
48201,TX-Harris County,191888,11730.52,5384.01,3114.24,1550.06,1072.54,424.82,159.9,TX
48203,TX-Harrison County,6064,9834.59,4058.55,2411.16,1470.54,1187.29,482.06,223.12,TX
48205,TX-Hartley County,99,11829.12,4498.97,3268.48,2204.37,763.38,,186.3,TX
48207,TX-Haskell County,928,9571.94,3908.49,1925.51,2438.67,902.6,200.62,224.99,TX
48209,TX-Hays County,12435,9637.71,3768.7,3124.02,1225.39,723.21,650.84,170.54,TX
48211,TX-Hemphill County,433,8493.64,3724.05,2013.06,1678.68,517.1,398.09,170.12,TX
48213,TX-Henderson County,11524,11090.7,4760.71,2691.27,1686.49,1117.78,595.8,300.15,TX
48215,TX-Hidalgo County,42622,11582.98,5105.79,3095.19,1428.52,1298.97,292.97,178.28,TX
48217,TX-Hill County,4643,8690.52,3588.7,2306.79,1208.59,866.63,479.64,262.48,TX
48219,TX-Hockley County,2082,9268.34,3830.57,1859.94,1511.69,814.74,1139.21,163.53,TX
48221,TX-Hood County,8980,9600.25,4074.58,2840.65,1300.57,810.29,378.04,219.45,TX
48223,TX-Hopkins County,4631,10571.73,4593.69,2448.48,1730.21,1107.83,465.86,254.26,TX
48225,TX-Houston County,3246,8943.41,3569.82,2288.78,1489.67,1060.48,287.14,246.49,TX
48227,TX-Howard County,3203,9111.22,4114.77,2034.46,1145.67,1108.18,527.96,182.77,TX
